ram_gb,ssd,hdd,display_size,price,Marca,Marca del Procesador,Modelo del Procesador,Sistema Operativo
8,256,0,13.3,59490.0,acer,intel,core i5,windows
8,256,0,14.1,49800.0,asus,intel,core i5,windows
8,256,0,15.6,61999.0,lenovo,intel,core i5,windows
8,512,0,15.6,54990.0,hp,intel,core i5,windows
8,512,0,15.6,53990.0,hp,intel,core i5,windows
8,512,0,14.0,52990.0,lenovo,intel,core i5,windows
16,512,0,14.0,67990.0,hp,intel,core i5,windows
8,512,0,15.6,57990.0,asus,intel,core i5,windows
16,512,0,15.6,62300.0,lenovo,intel,core i5,windows
8,512,0,15.6,52990.0,lenovo,intel,core i5,windows
8,512,0,15.6,51990.0,lenovo,intel,core i5,windows
16,512,0,14.0,61990.0,lenovo,intel,core i5,windows
8,512,0,14.0,63990.0,asus,intel,core i5,windows
8,512,0,15.6,65990.0,lenovo,intel,core i5,windows
8,512,0,15.6,52990.0,acer,intel,core i5,windows
8,512,0,15.6,49990.0,lenovo,intel,core i5,windows
8,512,0,17.3,71990.0,asus,intel,core i5,windows
8,512,0,15.6,47990.0,asus,intel,core i5,windows
8,512,0,15.6,48490.0,lenovo,intel,core i5,windows
8,512,0,17.3,72990.0,asus,intel,core i5,windows
16,512,0,15.6,76990.0,msi,intel,core i5,windows
16,512,0,15.6,89990.0,asus,intel,core i5,windows
8,512,0,15.6,59990.0,msi,intel,core i5,windows
8,512,0,15.6,65990.0,asus,intel,core i5,windows
8,512,0,14.0,71990.0,dell,intel,core i5,windows
8,512,0,14.0,71890.0,dell,intel,core i5,windows
16,512,0,15.6,64990.0,lenovo,intel,core i5,windows
16,512,0,14.0,65990.0,asus,intel,core i5,windows
8,512,0,15.6,55999.0,hp,intel,core i5,windows
16,512,0,14.0,73490.0,asus,intel,core i5,windows
16,512,0,14.0,74490.0,hp,intel,core i5,windows
8,512,0,14.0,58340.0,hp,intel,core i5,windows
8,512,0,14.0,55999.0,acer,intel,core i5,windows
16,512,0,14.0,67990.0,dell,intel,core i5,windows
16,512,0,14.0,59990.0,asus,intel,core i5,windows
16,512,0,15.6,82990.0,asus,intel,core i5,windows
8,512,0,14.0,64190.0,dell,intel,core i5,windows
16,512,0,14.0,70090.0,dell,intel,core i5,windows
8,512,0,15.6,49990.0,asus,intel,core i5,windows
8,512,0,14.0,55490.0,msi,intel,core i5,windows
